level,letter,words
1,A,apple anchor animal
2,B,banana basket button
3,C,castle candle cookie
4,D,dolphin dragon donut
5,E,elephant engine elbow
6,F,flower feather forest
7,G,garden giraffe guitar
8,H,hammer helmet honey
9,I,igloo insect island
10,J,jacket jungle jelly
11,K,kitten kettle kangaroo
12,L,lemon lizard lantern
13,M,monkey magnet muffin
14,N,number noodle napkin
15,O,orange octopus ostrich
16,P,panda pencil puppet
17,Q,queen quilt quack
18,R,rabbit rocket rainbow
19,S,spider squirrel sunflower
20,T,turtle tiger tomato
21,U,umbrella unicorn uniform
22,V,volcano violet violin
23,W,window watermelon whisper
24,X,xylophone xray xerox
25,Y,yellow yogurt yacht
26,Z,zebra zipper zucchini
